,Port Number,Description
714,410,DECLadebug Remote Debug Protocol
715,410,DECLadebug Remote Debug Protocol
716,411,Remote MT Protocol
717,411,Remote MT Protocol
718,412,Trap Convention Port
719,412,Trap Convention Port
720,413,Storage Management Services Protocol
721,413,Storage Management Services Protocol
722,414,InfoSeek
723,414,InfoSeek
724,415,BNet
725,415,BNet
726,416,Silverplatter
727,416,Silverplatter
728,417,Onmux
729,417,Onmux
730,418,Hyper-G
731,418,Hyper-G
732,419,Ariel 1
733,419,Ariel 1
734,420,SMPTE
735,420,SMPTE
736,421,Ariel 2
737,421,Ariel 2
738,422,Ariel 3
739,422,Ariel 3
740,423,IBM Operations Planning and Control Start
741,423,IBM Operations Planning and Control Start
742,424,IBM Operations Planning and Control Track
743,424,IBM Operations Planning and Control Track
744,425,ICAD
745,425,ICAD
746,426,smartsdp
747,426,smartsdp
748,427,Server Location
749,427,Server Location
750,428,"OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
751,428,OCS_CMU
752,428,"OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
753,428,OCS_CMU
754,429,"OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
755,429,OCS_AMU
756,429,"OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
757,429,OCS_AMU
758,430,UTMPSD
759,430,UTMPSD
760,431,UTMPCD
761,431,UTMPCD
762,432,IASD
763,432,IASD
764,433,NNTP for transit servers (NNSP)
765,433,NNTP for transit servers (NNSP)
766,434,MobileIP-Agent
767,434,MobileIP-Agent
768,435,MobilIP-MN
769,435,MobilIP-MN
770,436,DNA-CML
771,436,DNA-CML
772,437,comscm
773,437,comscm
774,438,dsfgw
775,438,dsfgw
776,439,dasp
777,439,dasp
778,440,sgcp
779,440,sgcp
780,441,decvms-sysmgt
781,441,decvms-sysmgt
782,442,"cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd""."
783,442,cvc_hostd
784,442,"cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd""."
785,442,cvc_hostd
786,443,http protocol over TLS/SSL
787,443,http protocol over TLS/SSL
788,443,HTTPS
789,444,Simple Network Paging Protocol
790,444,Simple Network Paging Protocol
791,445,Microsoft-DS
792,445,Microsoft-DS
793,446,DDM-Remote Relational Database Access
794,446,DDM-Remote Relational Database Access
795,447,DDM-Distributed File Management
796,447,DDM-Distributed File Management
797,448,DDM-Remote DB Access Using Secure Sockets
798,448,DDM-Remote DB Access Using Secure Sockets
799,449,AS Server Mapper
800,449,AS Server Mapper
801,450,Computer Supported Telecomunication Applications
802,450,Computer Supported Telecomunication Applications
803,451,Cray Network Semaphore server
804,451,Cray Network Semaphore server
805,452,Cray SFS config server
806,452,Cray SFS config server
807,453,CreativeServer
808,453,CreativeServer
809,454,ContentServer
810,454,ContentServer
811,455,CreativePartnr
812,455,CreativePartnr
813,456,macon-tcp
814,456,macon-udp
815,457,scohelp
816,457,scohelp
817,458,apple quick time
818,458,apple quick time
819,459,ampr-rcmd
820,459,ampr-rcmd
821,460,skronk
822,460,skronk
823,461,DataRampSrv
824,461,DataRampSrv
825,462,DataRampSrvSec
826,462,DataRampSrvSec
827,463,alpes
828,463,alpes
829,464,kpasswd
830,464,kpasswd
831,465,URL Rendesvous Directory for SSM
832,465,IGMP over UDP for SSM
833,466,digital-vrc
834,466,digital-vrc
835,467,mylex-mapd
836,467,mylex-mapd
837,468,proturis
838,468,proturis
839,469,Radio Control Protocol
840,469,Radio Control Protocol
841,470,scx-proxy
842,470,scx-proxy
843,471,Mondex
844,471,Mondex
845,472,ljk-login
846,472,ljk-login
847,473,hybrid-pop
848,473,hybrid-pop
849,474,tn-tl-w1
850,474,tn-tl-w2
851,475,tcpnethaspsrv
852,475,tcpnethaspsrv
853,476,tn-tl-fd1
854,476,tn-tl-fd1
855,477,ss7ns
856,477,ss7ns
857,478,spsc
858,478,spsc
859,479,iafserver
860,479,iafserver
861,480,iafdbase
862,480,iafdbase
863,481,Ph service
864,481,Ph service
865,482,bgs-nsi
866,482,bgs-nsi
867,483,ulpnet
868,483,ulpnet
869,484,Integra Software Management Environment
870,484,Integra Software Management Environment
871,485,Air Soft Power Burst
872,485,Air Soft Power Burst
873,486,avian
874,486,avian
875,487,saft Simple Asynchronous File Transfer
876,487,saft Simple Asynchronous File Transfer
877,488,gss-http
878,488,gss-http
879,489,nest-protocol
880,489,nest-protocol
881,490,micom-pfs
882,490,micom-pfs
883,491,go-login
884,491,go-login
885,492,Transport Independent Convergence for FNA
886,492,Transport Independent Convergence for FNA
887,493,Transport Independent Convergence for FNA
888,493,Transport Independent Convergence for FNA
889,494,POV-Ray
890,494,POV-Ray
891,495,intecourier
892,495,intecourier
893,496,PIM-RP-DISC
894,496,PIM-RP-DISC
895,497,Retrospect backup and restore service
896,497,Retrospect backup and restore service
897,498,siam
898,498,siam
899,499,ISO ILL Protocol
900,499,ISO ILL Protocol
901,500,isakmp
902,500,isakmp
903,501,STMF
904,501,STMF
905,502,Modbus Application Protocol
906,502,Modbus Application Protocol
907,503,Intrinsa
908,503,Intrinsa
909,504,citadel
910,504,citadel
911,505,mailbox-lm
912,505,mailbox-lm
913,506,ohimsrv
914,506,ohimsrv
915,507,crs
916,507,crs
917,508,xvttp
918,508,xvttp
919,509,snare
920,509,snare
921,510,FirstClass Protocol
922,510,FirstClass Protocol
923,511,PassGo
924,511,PassGo
925,512,remote process execution; authentication performed using passwords and UNIX login names
926,512,
927,512,used by mail system to notify users of new mail received; currently receives messages only from processes on the same machine
928,513,"remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify ""authentication domains"""
929,513,maintains data bases showing who's logged in to machines on a local net and the load average of the machine
930,514,"cmd like exec, but automatic authentication is performed as for login server"
931,514,
932,515,spooler
933,515,spooler
934,516,videotex
935,516,videotex
936,517,"like tenex link, but across machine - unfortunately, doesn't use link protocol (this is actually just a rendezvous port from which a tcp connection is established)"
937,517,"like tenex link, but across machine - unfortunately, doesn't use link protocol (this is actually just a rendezvous port from which a tcp connection is established)"
938,518,
939,518,
940,519,unixtime
941,519,unixtime
942,520,extended file name server
943,520,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP
944,521,ripng
945,521,ripng
946,522,ULP
947,522,ULP
948,523,IBM-DB2
949,523,IBM-DB2
950,524,NCP
951,524,NCP
952,525,timeserver
953,525,timeserver
954,526,newdate
955,526,newdate
956,527,Stock IXChange
957,527,Stock IXChange
958,528,Customer IXChange
959,528,Customer IXChange
960,529,IRC-SERV
961,529,IRC-SERV
962,530,rpc
963,530,rpc
964,531,chat
965,531,chat
966,532,readnews
967,532,readnews
968,533,for emergency broadcasts
969,533,for emergency broadcasts
970,534,windream Admin
971,534,windream Admin
972,535,iiop
973,535,iiop
974,536,opalis-rdv
975,536,opalis-rdv
976,537,Networked Media Streaming Protocol
977,537,Networked Media Streaming Protocol
978,538,gdomap
979,538,gdomap
980,539,Apertus Technologies Load Determination
981,539,Apertus Technologies Load Determination
982,540,uucpd
983,540,uucpd
984,541,uucp-rlogin
985,541,uucp-rlogin
986,542,commerce
987,542,commerce
988,543,
989,543,
990,544,krcmd
991,544,krcmd
992,545,appleqtcsrvr
993,545,appleqtcsrvr
994,546,DHCPv6 Client
995,546,DHCPv6 Client
996,547,DHCPv6 Server
997,547,DHCPv6 Server
998,548,AFP over TCP
999,548,AFP over TCP
1000,549,IDFP
1001,549,IDFP
1002,550,new-who
1003,550,new-who
1004,551,cybercash
1005,551,cybercash
1006,552,DeviceShare
1007,552,DeviceShare
1008,553,pirp
1009,553,pirp
1010,554,Real Time Streaming Protocol (RTSP)
1011,554,Real Time Streaming Protocol (RTSP)
1012,555,
1013,555,
1014,556,rfs server
1015,556,rfs server
1016,557,openvms-sysipc
1017,557,openvms-sysipc
1018,558,SDNSKMP
1019,558,SDNSKMP
1020,559,TEEDTAP
1021,559,TEEDTAP
1022,560,rmonitord
1023,560,rmonitord
1024,561,
1025,561,
1026,562,chcmd
1027,562,chcmd
1028,563,nntp protocol over TLS/SSL (was snntp)
